sampleid,popcode,suppopcode
HG01942,PEL,AMR
HG03709,PJL,SAS
HG03916,BEB,SAS
HG01947,PEL,AMR
HG03711,STU,SAS
HG03992,STU,SAS
HG01865,KHV,EAS
HG03716,ITU,SAS
HG04003,STU,SAS
HG01872,KHV,EAS
HG03723,ITU,SAS
HG04015,ITU,SAS
HG01884,ACB,AFR
HG03730,ITU,SAS
HG04022,ITU,SAS
HG01795,CDX,EAS
HG03742,ITU,SAS
HG04161,BEB,SAS
HG01808,CDX,EAS
HG03754,STU,SAS
HG04173,BEB,SAS
HG01810,CDX,EAS
HG03761,PJL,SAS
HG04180,BEB,SAS
HG01815,CDX,EAS
HG03766,PJL,SAS
HG04185,BEB,SAS
HG02084,KHV,EAS
HG03773,ITU,SAS
HG04192,BEB,SAS
HG02089,PEL,AMR
HG03778,ITU,SAS
HG04135,BEB,SAS
HG02091,PEL,AMR
HG03780,ITU,SAS
HG04142,BEB,SAS
HG02104,PEL,AMR
HG03785,ITU,SAS
HG04147,BEB,SAS
HG02111,ACB,AFR
HG03792,ITU,SAS
HG04159,BEB,SAS
HG02116,KHV,EAS
HG03797,BEB,SAS
HG03928,BEB,SAS
HG02274,PEL,AMR
HG03800,BEB,SAS
HG03930,BEB,SAS
HG02279,PEL,AMR
HG03805,BEB,SAS
HG03942,BEB,SAS
HG02281,ACB,AFR
HG03646,STU,SAS
HG04039,STU,SAS
HG02286,PEL,AMR
HG03653,PJL,SAS
HG04053,ITU,SAS
HG02293,PEL,AMR
HG03660,PJL,SAS
HG04058,ITU,SAS
HG02298,PEL,AMR
HG03672,STU,SAS
HG04060,ITU,SAS
HG02236,IBS,EUR
HG03684,STU,SAS
HG03947,STU,SAS
HG02250,CDX,EAS
HG03689,STU,SAS
HG03973,ITU,SAS
HG02255,ACB,AFR
HG03691,STU,SAS
HG03978,ITU,SAS
HG02262,PEL,AMR
HG03696,STU,SAS
HG03985,STU,SAS
HG02267,PEL,AMR
HG03634,PJL,SAS
HG04096,ITU,SAS
HG02147,PEL,AMR
HG03639,PJL,SAS
HG04128,BEB,SAS
HG02154,CDX,EAS
HG03641,PJL,SAS
NA18606,CHB,EAS
HG02166,CDX,EAS
HG03848,STU,SAS
NA18613,CHB,EAS
HG02173,CDX,EAS
HG03850,STU,SAS
NA18618,CHB,EAS
HG02178,CDX,EAS
HG03862,ITU,SAS
NA18620,CHB,EAS
HG02180,CDX,EAS
HG03867,ITU,SAS
NA18625,CHB,EAS
HG02185,CDX,EAS
HG04036,STU,SAS
NA18632,CHB,EAS
HG02217,IBS,EUR
HG04050,ITU,SAS
NA18637,CHB,EAS
HG02224,IBS,EUR
HG04055,ITU,SAS
NA18644,CHB,EAS
HG02229,IBS,EUR
HG04062,ITU,SAS
NA18740,CHB,EAS
HG02231,IBS,EUR
HG04067,STU,SAS
NA18745,CHB,EAS
HG02301,PEL,AMR
HG04093,ITU,SAS
NA18757,CHB,EAS
HG02318,ACB,AFR
HG04098,ITU,SAS
NA18795,CHB,EAS
HG02325,ACB,AFR
HG04106,STU,SAS
NA18853,YRI,AFR
HG02332,ACB,AFR
HG04118,ITU,SAS
NA18858,YRI,AFR
HG02337,ACB,AFR
HG04132,BEB,SAS
NA18860,YRI,AFR
HG02046,KHV,EAS
HG04175,BEB,SAS
NA12766,CEU,EUR
HG02053,ACB,AFR
HG04182,BEB,SAS
NA12778,CEU,EUR
HG02058,KHV,EAS
HG04187,BEB,SAS
NA12812,CEU,EUR
HG02060,KHV,EAS
HG04194,BEB,SAS
NA12817,CEU,EUR
HG02128,KHV,EAS
HG04199,STU,SAS
NA12829,CEU,EUR
HG02130,KHV,EAS
HG03925,BEB,SAS
NA12843,CEU,EUR
HG02135,KHV,EAS
HG03937,BEB,SAS
NA12874,CEU,EUR
HG02142,KHV,EAS
HG03944,STU,SAS
NA18485,YRI,AFR
HG02072,KHV,EAS
HG03949,STU,SAS
NA18497,YRI,AFR
HG02077,KHV,EAS
HG03999,STU,SAS
NA18500,YRI,AFR
HG02604,PJL,SAS
HG04017,ITU,SAS
NA18505,YRI,AFR
HG02611,GWD,AFR
HG04024,ITU,SAS
NA18517,YRI,AFR
HG02623,GWD,AFR
HG04029,STU,SAS
NA18531,CHB,EAS
HG02628,GWD,AFR
HG03874,ITU,SAS
NA18536,CHB,EAS
HG02630,GWD,AFR
HG03879,ITU,SAS
NA18543,CHB,EAS
HG02635,GWD,AFR
HG03886,STU,SAS
NA18548,CHB,EAS
HG02642,GWD,AFR
HG03898,STU,SAS
NA18550,CHB,EAS
HG02647,GWD,AFR
HG04144,BEB,SAS
NA18555,CHB,EAS
HG02654,PJL,SAS
HG04149,BEB,SAS
NA18562,CHB,EAS
HG02659,PJL,SAS
HG04151,BEB,SAS
NA18567,CHB,EAS
HG02661,PJL,SAS
HG04156,BEB,SAS
NA18574,CHB,EAS
HG02666,GWD,AFR
HG03901,BEB,SAS
NA18579,CHB,EAS
HG02678,GWD,AFR
HG03906,BEB,SAS
NA18593,CHB,EAS
HG02680,GWD,AFR
HG03913,BEB,SAS
NA12273,CEU,EUR
HG02685,PJL,SAS
HG03920,BEB,SAS
NA12329,CEU,EUR
HG02692,PJL,SAS
HG03951,STU,SAS
NA12336,CEU,EUR
HG02697,PJL,SAS
HG03963,ITU,SAS
NA12343,CEU,EUR
HG02700,PJL,SAS
HG03968,ITU,SAS
NA12348,CEU,EUR
HG02717,GWD,AFR
HG03982,STU,SAS
NA12386,CEU,EUR
HG02724,PJL,SAS
NA18521,YRI,AFR
NA12413,CEU,EUR
HG02729,PJL,SAS
NA18526,CHB,EAS
NA12716,CEU,EUR
HG02731,PJL,SAS
NA18533,CHB,EAS
NA12761,CEU,EUR
HG02464,GWD,AFR
NA18538,CHB,EAS
NA18865,YRI,AFR
HG02471,ACB,AFR
NA18545,CHB,EAS
NA18872,YRI,AFR
HG02476,ACB,AFR
NA18552,CHB,EAS
NA18877,YRI,AFR
HG02490,PJL,SAS
NA18557,CHB,EAS
NA18909,YRI,AFR
HG02495,PJL,SAS
NA18564,CHB,EAS
NA18911,YRI,AFR
HG02558,ACB,AFR
NA18571,CHB,EAS
NA18916,YRI,AFR
HG02572,GWD,AFR
NA18576,CHB,EAS
NA18923,YRI,AFR
HG02577,ACB,AFR
NA18595,CHB,EAS
NA18930,YRI,AFR
HG02584,GWD,AFR
NA18603,CHB,EAS
NA18935,YRI,AFR
HG02589,GWD,AFR
NA18608,CHB,EAS
NA18942,JPT,EAS
HG02596,GWD,AFR
NA18610,CHB,EAS
NA18947,JPT,EAS
HG02344,PEL,AMR
NA18615,CHB,EAS
NA18954,JPT,EAS
HG02351,CDX,EAS
NA18622,CHB,EAS
NA18959,JPT,EAS
HG02356,CDX,EAS
NA18627,CHB,EAS
NA18961,JPT,EAS
HG02363,CDX,EAS
NA10863,CEU,EUR
NA18966,JPT,EAS
HG02375,CDX,EAS
NA11830,CEU,EUR
NA18973,JPT,EAS
HG02508,ACB,AFR
NA11892,CEU,EUR
NA18978,JPT,EAS
HG02522,KHV,EAS
NA11917,CEU,EUR
NA18980,JPT,EAS
HG02541,ACB,AFR
NA11931,CEU,EUR
NA18985,JPT,EAS
HG02546,ACB,AFR
NA11993,CEU,EUR
NA18992,JPT,EAS
HG02382,CDX,EAS
NA12004,CEU,EUR
NA18997,JPT,EAS
HG02387,CDX,EAS
NA12155,CEU,EUR
NA19003,JPT,EAS
HG02394,CDX,EAS
NA12249,CEU,EUR
NA19010,JPT,EAS
HG02399,CDX,EAS
NA12275,CEU,EUR
HG04229,STU,SAS
HG02402,CDX,EAS
NA12282,CEU,EUR
HG04301,GBR,EUR
HG02407,CDX,EAS
NA12287,CEU,EUR
NA06985,CEU,EUR
HG02419,ACB,AFR
NA12340,CEU,EUR
NA06997,CEU,EUR
HG02433,ACB,AFR
NA12376,CEU,EUR
NA07022,CEU,EUR
HG02445,ACB,AFR
NA12383,CEU,EUR
NA07034,CEU,EUR
HG02786,PJL,SAS
NA12489,CEU,EUR
NA10859,CEU,EUR
HG02793,PJL,SAS
NA12718,CEU,EUR
NA10861,CEU,EUR
HG02798,GWD,AFR
NA12749,CEU,EUR
NA11840,CEU,EUR
HG02806,GWD,AFR
NA12751,CEU,EUR
NA12045,CEU,EUR
HG02813,GWD,AFR
NA12763,CEU,EUR
NA12057,CEU,EUR
HG02818,GWD,AFR
NA12775,CEU,EUR
NA12146,CEU,EUR
HG02820,GWD,AFR
NA12802,CEU,EUR
NA07349,CEU,EUR
HG02837,GWD,AFR
NA12814,CEU,EUR
NA10830,CEU,EUR
HG02851,GWD,AFR
HG04303,GBR,EUR
NA10835,CEU,EUR
HG02983,GWD,AFR
NA06994,CEU,EUR
NA10842,CEU,EUR
HG03006,BEB,SAS
NA07000,CEU,EUR
NA10847,CEU,EUR
HG03018,PJL,SAS
NA07029,CEU,EUR
NA10854,CEU,EUR
HG03025,GWD,AFR
NA07031,CEU,EUR
NA19027,LWK,AFR
HG02856,GWD,AFR
NA07048,CEU,EUR
NA19041,LWK,AFR
HG02870,GWD,AFR
NA07055,CEU,EUR
NA19046,LWK,AFR
HG02882,GWD,AFR
NA07346,CEU,EUR
NA19058,JPT,EAS
HG02887,GWD,AFR
NA07435,CEU,EUR
NA19060,JPT,EAS
HG02938,ESN,AFR
NA12864,CEU,EUR
NA19065,JPT,EAS
HG02945,ESN,AFR
NA12890,CEU,EUR
NA19072,JPT,EAS
HG02736,PJL,SAS
NA18487,YRI,AFR
NA19077,JPT,EAS
HG02762,GWD,AFR
NA18499,YRI,AFR
NA19084,JPT,EAS
HG02774,PJL,SAS
NA18502,YRI,AFR
NA19089,JPT,EAS
HG02779,PJL,SAS
NA18507,YRI,AFR
NA19091,JPT,EAS
HG02781,PJL,SAS
NA18519,YRI,AFR
NA19705,ASW,AFR
HG03049,GWD,AFR
NA18634,CHB,EAS
NA19712,ASW,AFR
HG03056,MSL,AFR
NA18639,CHB,EAS
NA19717,MXL,AMR
HG03063,MSL,AFR
NA18641,CHB,EAS
NA19724,MXL,AMR
HG03107,ESN,AFR
NA18646,CHB,EAS
NA19729,MXL,AMR
HG03114,ESN,AFR
NA18747,CHB,EAS
NA19731,MXL,AMR
HG03119,ESN,AFR
NA18855,YRI,AFR
NA19748,MXL,AMR
HG03121,ESN,AFR
NA18862,YRI,AFR
NA19750,MXL,AMR
HG03126,ESN,AFR
NA18867,YRI,AFR
NA19755,MXL,AMR
HG02952,ESN,AFR
NA18874,YRI,AFR
NA19762,MXL,AMR
HG02964,ESN,AFR
NA18879,YRI,AFR
NA19147,YRI,AFR
HG02969,ESN,AFR
NA18881,YRI,AFR
NA19154,YRI,AFR
HG02971,ESN,AFR
NA18906,YRI,AFR
NA19159,YRI,AFR
HG02976,ESN,AFR
NA18913,YRI,AFR
NA19161,YRI,AFR
HG03133,ESN,AFR
NA18925,YRI,AFR
NA19166,YRI,AFR
HG03140,ESN,AFR
NA18944,JPT,EAS
NA19173,YRI,AFR
HG03157,ESN,AFR
NA18949,JPT,EAS
NA19185,YRI,AFR
HG03164,ESN,AFR
NA18951,JPT,EAS
NA19197,YRI,AFR
HG03082,MSL,AFR
NA18956,JPT,EAS
NA19200,YRI,AFR
HG03099,ESN,AFR
NA18963,JPT,EAS
NA19205,YRI,AFR
HG03234,PJL,SAS
NA10837,CEU,EUR
NA19471,LWK,AFR
HG03239,PJL,SAS
NA10851,CEU,EUR
NA19654,MXL,AMR
HG03241,GWD,AFR
NA10856,CEU,EUR
NA19659,MXL,AMR
HG03246,GWD,AFR
HG04202,ITU,SAS
NA19661,MXL,AMR
HG03258,GWD,AFR
HG04214,ITU,SAS
NA19678,MXL,AMR
HG03260,GWD,AFR
HG04219,ITU,SAS
NA19680,MXL,AMR
HG03265,ESN,AFR
HG04238,ITU,SAS
NA19685,MXL,AMR
HG03518,ESN,AFR
NA19199,YRI,AFR
NA19700,ASW,AFR
HG03520,ESN,AFR
NA19202,YRI,AFR
NA19375,LWK,AFR
HG03549,MSL,AFR
NA19207,YRI,AFR
NA19382,LWK,AFR
HG03556,MSL,AFR
NA19214,YRI,AFR
NA19394,LWK,AFR
HG03563,MSL,AFR
NA19221,YRI,AFR
NA19399,LWK,AFR
HG03474,MSL,AFR
NA19226,YRI,AFR
NA19438,LWK,AFR
HG03479,MSL,AFR
NA19238,YRI,AFR
NA19440,LWK,AFR
HG03486,MSL,AFR
NA19240,YRI,AFR
NA19445,LWK,AFR
HG03493,ESN,AFR
NA19252,YRI,AFR
NA19452,LWK,AFR
HG03513,ESN,AFR
NA19257,YRI,AFR
NA19457,LWK,AFR
HG03366,ESN,AFR
NA19308,LWK,AFR
NA19469,LWK,AFR
HG03373,ESN,AFR
NA19310,LWK,AFR
NA19224,YRI,AFR
HG03378,MSL,AFR
NA19031,LWK,AFR
NA19236,YRI,AFR
HG03380,MSL,AFR
NA19036,LWK,AFR
NA19248,YRI,AFR
HG03385,MSL,AFR
NA19043,LWK,AFR
NA19313,LWK,AFR
HG03169,ESN,AFR
NA19055,JPT,EAS
NA19318,LWK,AFR
HG03171,ESN,AFR
NA19062,JPT,EAS
NA19320,LWK,AFR
HG03176,ESN,AFR
NA19067,JPT,EAS
NA19332,LWK,AFR
HG03190,ESN,AFR
NA19074,JPT,EAS
NA19351,LWK,AFR
HG03195,ESN,AFR
NA19079,JPT,EAS
NA19914,ASW,AFR
HG03203,ESN,AFR
NA19081,JPT,EAS
NA19919,ASW,AFR
HG03309,ESN,AFR
NA19086,JPT,EAS
NA19921,ASW,AFR
HG03311,ESN,AFR
NA19093,YRI,AFR
NA19983,ASW,AFR
HG03342,ESN,AFR
NA19098,YRI,AFR
NA20276,ASW,AFR
HG03354,ESN,AFR
NA19101,YRI,AFR
NA20288,ASW,AFR
HG03361,ESN,AFR
NA19315,LWK,AFR
NA20290,ASW,AFR
HG03272,ESN,AFR
NA19327,LWK,AFR
NA20295,ASW,AFR
HG03291,ESN,AFR
NA19334,LWK,AFR
NA19096,YRI,AFR
HG03296,ESN,AFR
NA19346,LWK,AFR
NA19104,YRI,AFR
HG03304,ESN,AFR
NA19360,LWK,AFR
NA19109,YRI,AFR
HG03397,MSL,AFR
NA19372,LWK,AFR
NA19116,YRI,AFR
HG03431,MSL,AFR
NA19377,LWK,AFR
NA19123,YRI,AFR
HG03436,MSL,AFR
NA19384,LWK,AFR
NA19128,YRI,AFR
HG03450,MSL,AFR
NA19391,LWK,AFR
NA19130,YRI,AFR
HG03455,MSL,AFR
NA19396,LWK,AFR
NA19142,YRI,AFR
HG03462,MSL,AFR
NA19404,LWK,AFR
NA19774,MXL,AMR
HG03607,BEB,SAS
NA19428,LWK,AFR
NA19779,MXL,AMR
HG03619,PJL,SAS
NA19430,LWK,AFR
NA19781,MXL,AMR
HG03621,PJL,SAS
NA19435,LWK,AFR
NA19786,MXL,AMR
HG03626,PJL,SAS
NA19454,LWK,AFR
NA19798,MXL,AMR
HG03633,PJL,SAS
NA19461,LWK,AFR
NA19818,ASW,AFR
HG03638,PJL,SAS
NA19466,LWK,AFR
NA19902,ASW,AFR
HG03575,MSL,AFR
NA19473,LWK,AFR
NA20358,ASW,AFR
HG03582,MSL,AFR
NA19625,ASW,AFR
NA20360,ASW,AFR
HG03587,BEB,SAS
NA19649,MXL,AMR
NA20505,TSI,EUR
HG03594,BEB,SAS
NA19651,MXL,AMR
NA20512,TSI,EUR
HG03599,BEB,SAS
NA19656,MXL,AMR
NA20517,TSI,EUR
HG03602,BEB,SAS
NA19663,MXL,AMR
NA20524,TSI,EUR
HG03683,STU,SAS
NA19670,MXL,AMR
NA20529,TSI,EUR
HG03688,STU,SAS
NA19675,MXL,AMR
NA20531,TSI,EUR
HG03690,STU,SAS
NA18968,JPT,EAS
NA20536,TSI,EUR
HG03695,STU,SAS
NA18970,JPT,EAS
NA20543,TSI,EUR
HG03640,PJL,SAS
NA18975,JPT,EAS
NA20581,TSI,EUR
HG03645,STU,SAS
NA18982,JPT,EAS
NA20586,TSI,EUR
HG03652,PJL,SAS
NA18987,JPT,EAS
NA20752,TSI,EUR
HG03657,PJL,SAS
NA18994,JPT,EAS
NA20757,TSI,EUR
HG03669,PJL,SAS
NA18999,JPT,EAS
NA20764,TSI,EUR
HG03722,ITU,SAS
NA19000,JPT,EAS
NA20769,TSI,EUR
HG03727,ITU,SAS
NA19005,JPT,EAS
NA20771,TSI,EUR
HG03741,STU,SAS
NA19012,JPT,EAS
NA20783,TSI,EUR
HG03746,STU,SAS
NA19017,LWK,AFR
NA20790,TSI,EUR
HG03753,STU,SAS
NA19024,LWK,AFR
NA20795,TSI,EUR
HG03703,PJL,SAS
NA19682,MXL,AMR
NA20803,TSI,EUR
HG03708,PJL,SAS
NA19702,ASW,AFR
NA20808,TSI,EUR
HG03710,PJL,SAS
NA19707,ASW,AFR
NA20810,TSI,EUR
HG03715,ITU,SAS
NA19714,ASW,AFR
NA20815,TSI,EUR
HG03760,STU,SAS
NA19719,MXL,AMR
NA20822,TSI,EUR
HG03765,PJL,SAS
NA19721,MXL,AMR
NA21135,GIH,SAS
HG03772,ITU,SAS
NA19726,MXL,AMR
NA21142,GIH,SAS
HG03777,ITU,SAS
NA19733,MXL,AMR
SC_GMJOL5309890,GWJ,AFR
HG03809,BEB,SAS
NA19738,MXL,AMR
SC_GMJOL5309922,GWJ,AFR
HG03811,BEB,SAS
NA19740,MXL,AMR
NA20322,ASW,AFR
HG03816,BEB,SAS
NA19113,YRI,AFR
NA20334,ASW,AFR
HG03823,BEB,SAS
NA19118,YRI,AFR
NA20339,ASW,AFR
HG03830,BEB,SAS
NA19120,YRI,AFR
NA20341,ASW,AFR
HG03784,ITU,SAS
NA19132,YRI,AFR
NA20346,ASW,AFR
HG03789,ITU,SAS
NA19137,YRI,AFR
NA20891,GIH,SAS
HG03796,BEB,SAS
NA19144,YRI,AFR
NA20896,GIH,SAS
HG03804,BEB,SAS
NA19149,YRI,AFR
NA20904,GIH,SAS
HG03948,STU,SAS
NA19151,YRI,AFR
NA20909,GIH,SAS
HG03950,STU,SAS
NA19175,YRI,AFR
NA20911,GIH,SAS
HG03955,STU,SAS
NA19752,MXL,AMR
NA21109,GIH,SAS
HG03967,ITU,SAS
NA19757,MXL,AMR
NA21111,GIH,SAS
HG03974,ITU,SAS
NA19764,MXL,AMR
NA21116,GIH,SAS
HG03835,STU,SAS
NA19771,MXL,AMR
NA21123,GIH,SAS
HG03842,STU,SAS
NA19776,MXL,AMR
NA21128,GIH,SAS
HG03847,STU,SAS
NA19783,MXL,AMR
NA21130,GIH,SAS
HG03854,STU,SAS
NA19788,MXL,AMR
NA20827,TSI,EUR
HG03861,ITU,SAS
NA19790,MXL,AMR
NA20846,GIH,SAS
HG03924,BEB,SAS
NA19795,MXL,AMR
NA20853,GIH,SAS
HG03929,BEB,SAS
NA19834,ASW,AFR
NA20858,GIH,SAS
HG03931,BEB,SAS
NA19904,ASW,AFR
NA20872,GIH,SAS
HG03943,STU,SAS
NA19909,ASW,AFR
NA20877,GIH,SAS
HG03897,STU,SAS
NA19916,ASW,AFR
NA20884,GIH,SAS
HG03900,STU,SAS
NA19923,ASW,AFR
NA20889,GIH,SAS
HG03905,BEB,SAS
NA19985,ASW,AFR
NA21089,GIH,SAS
HG03917,BEB,SAS
NA20127,ASW,AFR
NA21091,GIH,SAS
HG04035,STU,SAS
NA20278,ASW,AFR
NA21104,GIH,SAS
HG04042,STU,SAS
NA20526,TSI,EUR
SC_GMFUL5306362,GWF,AFR
HG04047,STU,SAS
NA20533,TSI,EUR
SC_GMJOL5309939,GWJ,AFR
HG04054,ITU,SAS
NA20538,TSI,EUR
SC_GMFUL5306418,GWF,AFR
HG04059,ITU,SAS
NA20540,TSI,EUR
SC_GMFUL5306413,GWF,AFR
HG04061,ITU,SAS
NA20588,TSI,EUR
SC_GMFUL5309722,GWF,AFR
HG04080,ITU,SAS
NA20754,TSI,EUR
SC_GMFUL5306374,GWF,AFR
HG04100,STU,SAS
NA20759,TSI,EUR
SC_GMFUL5306398,GWF,AFR
HG04131,BEB,SAS
NA20761,TSI,EUR
SC_GMFUL5306406,GWF,AFR
HG04136,BEB,SAS
NA20766,TSI,EUR
SC_GMJOL5309941,GWJ,AFR
HG04148,BEB,SAS
NA20773,TSI,EUR
SC_GMJOL5309965,GWJ,AFR
HG04150,BEB,SAS
NA20778,TSI,EUR
SC_GMJOL5309934,GWJ,AFR
HG04155,BEB,SAS
NA20785,TSI,EUR
SC_GMJOL5309958,GWJ,AFR
HG03866,ITU,SAS
NA20343,ASW,AFR
SC_GMJOL5309895,GWJ,AFR
HG03873,ITU,SAS
NA20348,ASW,AFR
SC_GMJOL5309903,GWJ,AFR
HG03885,STU,SAS
NA20350,ASW,AFR
SC_GMJOL5309927,GWJ,AFR
HG03986,STU,SAS
NA20355,ASW,AFR
SC_GMJOL5309852,GWJ,AFR
HG03998,STU,SAS
NA20362,ASW,AFR
SC_GMJOL5309876,GWJ,AFR
HG04023,ITU,SAS
NA20413,ASW,AFR
SC_GMJOL5309821,GWJ,AFR
NA18599,CHB,EAS
NA20502,TSI,EUR
SC_GMWOF5428762,GWW,AFR
NA18602,CHB,EAS
NA20507,TSI,EUR
SC_GMWOF5428731,GWW,AFR
NA18614,CHB,EAS
NA20514,TSI,EUR
SC_GMWOF5428755,GWW,AFR
NA18619,CHB,EAS
NA20519,TSI,EUR
SC_GMJOL5309953,GWJ,AFR
NA18621,CHB,EAS
